 Comunidad_de_riego_Turia_ SWAT+ @TODAY@        MODULAR Rev @YEAR@.@SWAT_VERSION@                         
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction             flo             sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null           salt           pest
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          17           1          17        2017 cha01           chandeg ru                 1 tot   1.000000       120.8561      1.0104146E-04  6.8760553E-09  2.0628166E-08   3.496736      2.3256203E-02   28.93305      0.0000000E+00  0.0000000E+00  0.0000000E+00   110.1168      6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  0.0000000E+00   1.008343      0.0000000E+00  0.0000000E+00
          17           1          17        2017 cha01           chandeg aqu                1 tot   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9700000      0.0000000E+00  0.0000000E+00
          18           1          18        2017 aqu010          aqu     ru                 1 rhg   1.000000      0.1515373      0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2245401E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   7.599037      0.0000000E+00  0.0000000E+00
          18           1          18        2017 cha01           chandeg ru                 1 tot   1.000000       37.75479      6.8760553E-10  6.8760553E-09  2.0628166E-08   1.092361      7.2651082E-03   28.93304      0.0000000E+00  0.0000000E+00  0.0000000E+00   120.2569      6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  0.0000000E+00   1.027188      0.0000000E+00  0.0000000E+00
          18           1          18        2017 cha01           chandeg aqu                1 tot   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9700000      0.0000000E+00  0.0000000E+00
          19           1          19        2017 aqu010          aqu     ru                 1 rhg   1.000000      0.1515127      0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2285387E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   7.600105      0.0000000E+00  0.0000000E+00
          19           1          19        2017 cha01           chandeg ru                 1 tot   1.000000       2316.932      5.2635847E-03  6.8760553E-09  2.0628166E-08   2.557545      0.4246174       1.103850      0.0000000E+00  0.0000000E+00  0.0000000E+00   112.1362      6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  0.0000000E+00   1.000432      0.0000000E+00  0.0000000E+00
          19           1          19        2017 cha01           chandeg aqu                1 tot   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9700000      0.0000000E+00  0.0000000E+00
          20           1          20        2017 aqu010          aqu     ru                 1 rhg   1.000000      0.1514882      0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2325243E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   7.601172      0.0000000E+00  0.0000000E+00
          20           1          20        2017 cha01           chandeg ru                 1 tot   1.000000       2464.826      2.7637710E-04  6.8760553E-09  2.0628166E-08   2.649532      0.4395562       1.074937      0.0000000E+00  0.0000000E+00  0.0000000E+00   112.4704      6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  6.8760556E-07  0.0000000E+00   1.000406      0.0000000E+00  0.0000000E+00
